City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Necochea,AR,-38.5473,-58.7368,60.01,91,99,17.4,overcast clouds
81,Chernyatyn,UA,48.6603,25.4483,27.0,93,75,13.42,light snow
82,Sabancuy,MX,18.9667,-91.1833,73.31,86,1,9.86,clear sky
83,Pevek,RU,69.7008,170.3133,-8.0,87,0,2.04,clear sky
84,Kloulklubed,PW,7.0419,134.2556,77.0,94,90,6.91,overcast clouds
85,Yuancheng,CN,36.652,107.7896,34.99,71,100,7.63,overcast clouds
86,Boende,CD,-0.2167,20.8667,94.44,39,94,2.01,overcast clouds
87,Cape Town,ZA,-33.9258,18.4232,75.99,46,0,25.32,clear sky
88,Mount Gambier,AU,-37.8333,140.7667,55.4,71,90,8.05,overcast clouds
89,Inhambane,MZ,-23.865,35.3833,89.6,62,40,6.91,scattered clouds
90,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,75,10.36,light rain
91,Jabinyanah,TN,35.035,10.9081,77.0,33,40,9.22,scattered clouds
92,Katsuura,JP,35.1333,140.3,53.6,50,20,16.11,few clouds
93,Vaini,TO,-21.2,-175.2,78.8,94,75,8.05,light rain
94,Bodden Town,KY,19.2833,-81.25,80.6,78,20,11.5,few clouds
95,Tolaga Bay,NZ,-38.3667,178.3,54.77,87,30,3.96,scattered clouds
96,Iqaluit,CA,63.7506,-68.5145,17.6,67,20,10.36,few clouds
97,Ambon,ID,-3.6954,128.1814,78.8,89,20,4.61,light rain
98,Golden,US,39.7555,-105.2211,39.2,38,40,16.11,scattered clouds
99,Carahue,CL,-38.7,-73.1667,57.2,100,90,4.61,overcast clouds
100,Jamestown,US,42.097,-79.2353,17.01,73,90,3.44,light snow
101,Carnarvon,AU,-24.8667,113.6333,80.6,100,90,12.66,overcast clouds
102,Portland,US,45.5234,-122.6762,42.8,87,75,3.44,broken clouds
103,Verkhnevilyuysk,RU,63.4453,120.3167,-19.17,87,0,7.2,clear sky
104,Katobu,ID,-4.9408,122.5276,76.87,91,98,3.8,overcast clouds
105,Ruteng,ID,-8.6136,120.4721,64.26,100,100,0.36,overcast clouds
106,Bambous Virieux,MU,-20.3428,57.7575,86.0,66,40,12.66,scattered clouds
107,Tuktoyaktuk,CA,69.4541,-133.0374,-16.47,87,100,15.84,overcast clouds
108,Victoria,HK,22.2855,114.1577,66.99,82,0,3.0,clear sky
109,Torbay,CA,47.6666,-52.7314,33.01,64,75,28.77,broken clouds
110,Airai,TL,-8.9266,125.4092,61.79,100,100,1.39,overcast clouds
111,Nizhniy Baskunchak,RU,48.2198,46.8311,20.75,75,13,18.01,few clouds
112,Abu Dhabi,AE,24.4667,54.3667,80.6,32,0,8.05,clear sky
113,Tilichiki,RU,60.4667,166.1,14.29,91,100,15.73,light snow
114,New Norfolk,AU,-42.7826,147.0587,55.4,54,90,10.36,overcast clouds
115,Hamilton,US,39.1834,-84.5333,15.01,73,20,9.22,few clouds
116,Ponta Do Sol,PT,32.6667,-17.1,64.0,67,40,9.22,scattered clouds
117,Gizo,SB,-8.103,156.8419,83.39,74,5,6.08,clear sky
118,Yashkul,RU,46.1711,45.3435,30.94,80,0,14.79,clear sky
119,Lebu,CL,-37.6167,-73.65,60.37,85,83,2.37,broken clouds
120,Ilulissat,GL,69.2167,-51.1,23.0,50,0,33.38,light snow
121,Aklavik,CA,68.2191,-135.0107,-16.6,76,100,5.75,overcast clouds
122,Melchor De Mencos,GT,17.0686,-89.1522,66.2,100,75,1.28,broken clouds
123,Dukat,RU,62.55,155.55,0.01,89,100,12.73,overcast clouds
124,Chernyshevskiy,RU,63.0128,112.4714,2.37,95,100,7.31,light snow
125,Rio Grande City,US,26.3798,-98.8203,57.99,88,1,6.91,clear sky
126,Saint-Pierre,RE,-21.3393,55.4781,86.0,66,20,6.91,few clouds
127,Nome,US,64.5011,-165.4064,8.6,78,90,4.72,overcast clouds
128,Mchinji,MW,-13.7984,32.8802,77.72,76,100,2.55,moderate rain
129,Concordia,AR,-31.393,-58.0209,79.0,65,0,5.75,clear sky
130,Half Moon Bay,US,37.4636,-122.4286,44.6,100,90,4.32,fog
131,Port-Gentil,GA,-0.7193,8.7815,80.6,78,20,8.05,light rain
132,Yellowknife,CA,62.456,-114.3525,-47.0,66,1,3.44,mist
133,Kavaratti,IN,10.5669,72.642,81.75,65,0,9.31,clear sky
134,Alampur,IN,15.8833,78.15,81.0,28,0,9.37,clear sky
135,Ketchikan,US,55.3422,-131.6461,28.4,80,1,6.91,clear sky
136,Richards Bay,ZA,-28.783,32.0377,84.51,66,84,6.58,broken clouds
137,Husavik,IS,66.0449,-17.3389,33.8,75,75,2.3,broken clouds
138,Cap Malheureux,MU,-19.9842,57.6142,82.99,73,97,7.0,overcast clouds
139,Adrar,MR,20.5022,-10.0711,68.43,25,0,18.92,clear sky
140,Valentin Gomez Farias,MX,28.2167,-106.5833,44.94,53,91,2.71,overcast clouds
141,Vostok,RU,46.4856,135.8833,-12.48,90,100,2.95,overcast clouds
142,Viedma,AR,-40.8135,-62.9967,63.0,74,39,18.68,scattered clouds
143,Codrington,AU,-38.2667,141.9667,56.46,69,80,10.96,broken clouds
144,Cayenne,GF,4.9333,-52.3333,82.4,83,90,14.97,light rain
145,Salalah,OM,17.0151,54.0924,77.0,65,75,11.5,broken clouds
146,Rovaniemi,FI,66.5,25.7167,15.8,86,0,10.36,clear sky
147,Santa Engracia,ES,41.9406,-1.3245,54.0,53,20,14.97,few clouds
148,Laguna,US,38.421,-121.4238,42.01,87,1,3.44,mist
149,Rock Sound,BS,24.9,-76.2,75.72,86,1,19.26,clear sky
150,Miyang,CN,24.4042,103.4428,52.38,85,100,3.83,light rain
151,Barranca,PE,-10.75,-77.7667,72.82,67,100,4.38,overcast clouds
152,Kasongo,CD,-4.45,26.6667,80.85,81,40,4.54,moderate rain
